datetime,air_density
2019-01-11 00:00:00,"[[127.72171  127.554596 127.46559 ]
 [127.87003  127.68184  127.49455 ]
 [127.92855  127.782845 127.67002 ]]"
2019-01-11 06:00:00,"[[127.920235 127.66288  127.54598 ]
 [127.981255 127.73538  127.44091 ]
 [127.687645 127.57362  127.357666]]"
2019-01-11 12:00:00,"[[127.89844  127.78104  127.77767 ]
 [128.04791  127.94233  127.71185 ]
 [127.66883  127.72598  127.582726]]"
2019-01-11 18:00:00,"[[128.13176  127.93388  127.878525]
 [128.1717   127.966156 127.75887 ]
 [128.04631  127.88971  127.71439 ]]"
2019-01-12 00:00:00,"[[128.44513 128.22095 128.18855]
 [128.41383 128.23999 128.03499]
 [128.15692 128.17474 128.03763]]"
2019-01-12 06:00:00,"[[127.52566  127.38851  127.392494]
 [127.68399  127.55117  127.34631 ]
 [127.5193   127.52216  127.39489 ]]"
2019-01-12 12:00:00,"[[125.87552 125.85247 125.9339 ]
 [126.1211  126.091   125.99223]
 [125.96373 126.02046 125.99926]]"
2019-01-12 18:00:00,"[[125.77032  125.71806  125.74065 ]
 [125.89235  125.826065 125.70734 ]
 [125.77611  125.78055  125.71466 ]]"
2019-01-13 00:00:00,"[[124.99394  124.9776   125.07722 ]
 [125.269585 125.231636 125.12197 ]
 [125.192474 125.22895  125.20106 ]]"
2019-01-13 06:00:00,"[[124.85809  124.80664  124.88502 ]
 [125.074776 125.02496  124.87518 ]
 [124.84244  124.928185 124.874016]]"
2019-01-13 12:00:00,"[[124.21039  124.18821  124.29419 ]
 [124.548096 124.528076 124.3886  ]
 [124.35703  124.48402  124.43468 ]]"
2019-01-13 18:00:00,"[[124.14092  124.07093  124.109116]
 [124.25073  124.19498  124.04404 ]
 [123.96827  124.062996 124.01656 ]]"
2019-01-14 00:00:00,"[[125.29147  125.18955  125.13163 ]
 [125.23529  125.137924 124.99878 ]
 [124.98878  124.98344  124.9148  ]]"
2019-01-14 06:00:00,"[[126.39632  126.253334 126.12514 ]
 [126.33382  126.189835 126.020775]
 [126.157005 126.07391  125.95806 ]]"
2019-01-14 12:00:00,"[[126.574936 126.64331  126.751114]
 [126.64626  126.71305  126.65381 ]
 [126.315155 126.5099   126.52911 ]]"
2019-01-14 18:00:00,"[[127.40271  127.292755 127.05304 ]
 [127.09031  126.95586  126.847855]
 [126.88095  126.78775  126.74355 ]]"
2019-01-15 00:00:00,"[[127.65237  127.416985 127.17524 ]
 [127.47055  127.21407  126.98419 ]
 [127.41474  127.17104  126.98193 ]]"
2019-01-15 06:00:00,"[[127.72611  127.519745 127.30617 ]
 [127.709724 127.45984  127.20923 ]
 [127.73343  127.46941  127.27416 ]]"
2019-01-15 12:00:00,"[[126.341446 126.43884  126.57236 ]
 [126.6148   126.64685  126.56164 ]
 [126.38255  126.44484  126.42967 ]]"
2019-01-15 18:00:00,"[[125.79037  125.716705 125.717026]
 [125.83903  125.761734 125.62935 ]
 [125.565895 125.60059  125.56664 ]]"
2019-01-16 00:00:00,"[[125.44119  125.38996  125.374306]
 [125.52022  125.436295 125.30114 ]
 [125.35246  125.31767  125.272934]]"
2019-01-16 06:00:00,"[[124.92921  124.87287  124.88898 ]
 [125.03056  124.96919  124.85065 ]
 [124.806145 124.85206  124.85599 ]]"
2019-01-16 12:00:00,"[[124.30171  124.311935 124.41438 ]
 [124.479836 124.49518  124.47688 ]
 [124.35635  124.50514  124.59579 ]]"
2019-01-16 18:00:00,"[[124.50414  124.22764  123.986755]
 [124.19192  123.93954  123.72066 ]
 [123.80686  123.6837   123.6178  ]]"
2019-01-17 00:00:00,"[[125.74669  125.51139  125.268425]
 [125.5563   125.293686 125.09288 ]
 [125.56176  125.258644 125.11053 ]]"
2019-01-17 06:00:00,"[[126.16532  125.94765  125.73601 ]
 [125.89988  125.68538  125.46816 ]
 [125.629036 125.46527  125.29302 ]]"
2019-01-17 12:00:00,"[[127.05373  126.91494  126.806114]
 [127.07073  126.92963  126.73581 ]
 [126.842026 126.791916 126.66708 ]]"
2019-01-17 18:00:00,"[[127.49627 127.19658 126.93839]
 [127.39599 127.10386 126.87928]
 [127.34357 127.07831 126.88339]]"
2019-01-18 00:00:00,"[[128.67056  128.32593  127.87455 ]
 [128.35344  127.98134  127.69894 ]
 [128.3477   127.907394 127.652214]]"
2019-01-18 06:00:00,"[[129.11504 128.75165 128.23457]
 [128.68785 128.23952 127.97584]
 [128.9683  128.27362 127.99962]]"
2019-01-18 12:00:00,"[[127.598465 127.491165 127.36706 ]
 [127.4102   127.36052  127.312805]
 [127.14753  127.25156  127.32409 ]]"
2019-01-18 18:00:00,"[[126.996346 126.91729  126.843994]
 [126.99617  126.94051  126.93316 ]
 [127.02598  127.02692  127.12202 ]]"
2019-01-19 00:00:00,"[[127.412056 127.33729  127.22528 ]
 [127.405685 127.36504  127.39736 ]
 [127.55856  127.538124 127.69023 ]]"
2019-01-19 06:00:00,"[[127.31474  127.27992  127.221794]
 [127.34556  127.36296  127.40187 ]
 [127.42503  127.53744  127.729385]]"
2019-01-19 12:00:00,"[[126.94374  126.944405 126.99711 ]
 [127.002525 127.021866 127.03788 ]
 [126.899345 127.00988  127.10964 ]]"
2019-01-19 18:00:00,"[[126.539215 126.50682  126.41591 ]
 [126.465355 126.41862  126.42418 ]
 [126.557976 126.49392  126.59938 ]]"
2019-01-20 00:00:00,"[[127.51288  127.36866  126.93412 ]
 [127.13289  127.000145 127.012596]
 [127.49904  127.248116 127.30796 ]]"
2019-01-20 06:00:00,"[[127.718704 127.58698  127.2114  ]
 [127.1662   127.10292  127.22575 ]
 [127.3432   127.25276  127.444435]]"
2019-01-20 12:00:00,"[[127.71399  127.74808  127.89284 ]
 [127.702385 127.81308  127.90347 ]
 [127.45107  127.75274  127.9473  ]]"
2019-01-20 18:00:00,"[[128.75589 128.43973 128.10716]
 [128.34538 128.09212 128.01677]
 [128.25233 128.0324  128.10043]]"
2019-01-21 00:00:00,"[[129.64769 129.09283 128.49054]
 [129.0162  128.50912 128.35081]
 [129.15474 128.5664  128.53171]]"
2019-01-21 06:00:00,"[[129.95293 129.45383 128.78838]
 [129.38908 128.77937 128.51328]
 [129.81322 128.8129  128.6134 ]]"
